,Nazwa zbioru,AUC,Czas trenowania najlepszej konfiguracji
0,credit-g,0.7999073607399693,0.18099641799926758
1,kr-vs-kp,0.9994187399679122,0.13199996948242188
2,blood-transfusion-service-center,0.7502729664664658,0.0969991683959961
3,kc1,0.8267837158477068,0.18403363227844238
4,blood-transfusion-service-center,0.7599235069884775,0.05499744415283203
5,vehicle,0.5544254993958948,0.4279956817626953
6,mfeat-factors,0.8805136976887789,0.7985188961029053
7,phoneme,0.9635623830916932,0.4949970245361328
8,bank-marketing,0.9357871643590812,0.5179991722106934
9,nomao,0.9915717924684153,0.45299530029296875
10,cnae-9,0.5637532752935347,0.06199455261230469
11,Amazon_employee_access,0.8666388868040513,1.0329794883728027
12,higgs,0.7455247956852149,0.4299960136413574
13,adult,0.9262266705689749,0.2939951419830322
14,segment,0.8274869734966928,0.1959998607635498
15,connect-4,0.551729226946294,0.9999985694885254
16,car,0.9916908833952681,0.13998842239379883
17,jungle_chess_2pcs_raw_endgame_complete,0.7327994922443088,0.6569881439208984
18,Australian,0.9460652349724746,0.008004426956176758
19,numerai28.6,0.530052794154428,0.285994291305542
