task,autosklearn,autoweka,constantpredictor,h2oautoml,randomforest,tpot,tunedrandomforest,Auto-PyTorch
amazon_employee_access,0.855949,0.809032,0.5,0.879249,0.864145,0.86955,0.862834,0.8483982579346492
apsfailure,0.991173,0.964659,0.5,0.992338,0.991212,0.990257,0.990772,0.9915758904070616
australian,0.935352,0.929447,0.5,0.939702,0.936597,0.931933,0.933904,0.9340735420022346
bank-marketing,0.937332,0.826706,0.5,0.93707,0.930829,0.933684,0.930685,0.9360739077639215
blood-transfusion,0.757376,0.740807,0.5,0.756301,0.686283,0.724372,0.688562,0.7445963765623208
christine,0.829747,0.801988,0.5,0.825998,0.80578,0.813402,0.809603,0.8002051962094037
credit-g,0.782619,0.752548,0.5,0.788809,0.794667,0.786143,0.795524,0.7706666666666666
guiellermo,0.901298,0.878182,0.5,0.909924,0.902647,0.819224,0.902757,0.900215
higgs,0.793323,0.676984,0.5,0.813504,0.802973,0.80155,0.802942,0.8084483685100178
jasmine,0.883949,0.860555,0.5,0.887816,0.888259,0.884588,0.889133,0.8805381439274507
kc1,0.84251 (1),0.814135,0.5,0.836388,0.836269,0.840991,0.842142,0.8279577660193678
kddcup09_appetency,0.83399,0.790757 (6),0.5,0.830412,0.785771,0.818407 (1),0.785631,0.8148299277704945
kr-vs-kp,0.999835,0.975994,0.5,0.999874,0.999151,0.999686,0.999648,0.9991281781743437
miniboone,0.985468,0.961233,0.5,0.986557,0.981664,0.981172,0.981649,0.9845553774132562
nomao,0.995949,0.983934,0.5,0.995957,0.994905,0.994574,0.995096,0.9950308727706796
numerai28.6,0.529106,0.520145,0.5,0.531898,0.519657,0.524741,0.520723,0.5271368217443193
phoneme,0.962603,0.956961,0.5,0.96766,0.965422,0.968944,0.965731,0.9639504792733815
riccardo,0.999756,,0.5,0.999807,0.999025,0.992001,0.999687,0.997814
sylvine,0.990398,0.974948,0.5,0.989972,0.983282,0.991775,0.983953,0.9870047483926617
